@relation code_style

@attribute instanceID {solution10.js,probb14.js,codejam4.js,lastWord.js,index10.js,A.js,lawn.js,script2.js,A-2013.js,rtsConfig7.js,standing_ovation.js,main.js,solution-small2.js,rtsConfig11.js,UPLOADTHIS3.js,index6.js,problem_a5.js,main13.js,proba3.js,problem_aa.js,script12.js,UPLOADTHIS9.js,solution-small.js,standing_ovation1.js,helper.js,UPLOADTHIS.js,rts3.js,main1.js,index1.js,rts10.js,codejam15.js,probc17.js,helper7.js,main6.js,a4.js,A1.js,problem_b2.js,countingDigits1.js,pancakes1.js,solution9.js,B_solution2.js,rts8.js,dijkstra1.js,proba4.js,codejam14.js,rtsConfig1.js,solution11.js,problem_d.js,countingSheep1.js,B.js,probb13.js,script7.js,C_solution1.js,A_solution1.js,rtsConfig6.js,helper2.js,codejam9.js,b.js,problem_a4.js,UPLOADTHIS4.js,solution4.js,main12.js,program1.js,proba2.js,rts14.js,problem_c.js,c1.js,D_solution.js,main8.js,pancakes.js,script6.js,probb10.js,probb9.js,revengePancakes1.js,a6.js,rts2.js,codejam8.js,c.js,probc18.js,codejam3.js,ttt1.js,solution-large.js,problem_b3.js,B-20131.js,script1.js,UPLOADTHIS2.js,codejam19.js,rts7.js,helper4.js,main14.js,proba7.js,index5.js,solution14.js,solution6.js,B_solution.js,codejam2.js,UPLOADTHIS8.js,script13.js,rts.js,C.js,problem_d1.js,proba.js,main2.js,B1.js,rtsConfig5.js,helper3.js,codejam18.js,problem_a3.js,solution15.js,dijkstra.js,index4.js,solution5.js,D-2013.js,main7.js,a5.js,b1.js,rts1.js,solution.js,solution-small1.js,rtsConfig10.js,codejam13.js,senateEvacuation1.js,D_solution1.js,probc19.js,codejam12.js,program.js,codejam.js,a2.js,ttt.js,problem_b4.js,main4.js,rts6.js,helper5.js,solution7.js,proba6.js,index9.js,solution1.js,problem_b.js,solution13.js,main9.js,codejam7.js,probb8.js,script5.js,probb11.js,C1.js,fractiles.js,rtsConfig4.js,a7.js,t.js,UPLOADTHIS6.js,problem_a2.js,fair-simple1.js,omino.js,rtsConfig.js,d.js,main10.js,problem_a.js,index8.js,solution2.js,A-20131.js,index12.js,codejam6.js,script4.js,index.js,UPLOADTHIS1.js,rtsConfig9.js,problem_a7.js,proba1.js,codejam1.js,rts13.js,UPLOADTHIS7.js,script14.js,B-2013.js,a1.js,countingSheep.js,problem_c1.js,main3.js,rts5.js,index3.js,codejam17.js,probc15.js,rtsConfig14.js,C_solution.js,script11.js,omino1.js,helper1.js,rtsConfig3.js,codejam16.js,rts11.js,index2.js,problem_a1.js,fair-simple.js,countingDigits.js,codejam11.js,index11.js,C-2013.js,script.js,main5.js,a3.js,script9.js,solution-small3.js,C-20131.js,rtsConfig8.js,problem_a6.js,A_solution.js,rtsConfig12.js,codejam10.js,solution12.js,rts12.js,treasure.js,probb12.js,script8.js,problem_c2.js,rts4.js,solution-small4.js,UPLOADTHIS5.js,a.js,main11.js,rtsConfig13.js,probc16.js,script10.js,index7.js,solution3.js,problem_b1.js,codejam5.js,fashionPolice.js,rts9.js,helper6.js,A2.js,script3.js,revengePancakes.js,B_solution1.js,lastWord1.js,solution8.js,proba5.js,rtsConfig2.js,senateEvacuation.js}
@attribute log(numFunctions/length) numeric
@attribute log(numTokens/length) numeric
@attribute log(numComments/length) numeric
@attribute log(numLiterals/length) numeric
@attribute log(numReservedWords/length) numeric
@attribute avgLineLength numeric
@attribute log(numEmptyLines/length) numeric
@attribute whiteSpaceRatio numeric
@attribute avgParams numeric
@attribute stdDevLineLength numeric
@attribute log(numMacros/length) numeric
@attribute tabsLeadLines {TRUE, FALSE}
@attribute log(numTabs/length) numeric
@attribute log(numSpaces/length) numeric
@attribute stdDevNumParams numeric
@attribute log(numIf/length) numeric
@attribute log(numElif/length) numeric
@attribute log(numElse/length) numeric
@attribute log(numSwitch/length) numeric
@attribute log(numTernary/length) numeric
@attribute log(numFor/length) numeric
@attribute log(numWhile/length) numeric
@attribute log(numDo/length) numeric
@attribute newLineBeforeOpeningBrace {TRUE, FALSE}
@attribute nestingDepth numeric
@attribute branchingFactor numeric
@attribute author {jiminP,dushanr,piranha,yairchu,oscariano,ypaik,lanceHalberd,azenyem,saph,rw251,sirinity,dusnar,chinesedfan,danReyLop,pep,jimbly,lionvs}

@data
index11.js,-5.1647859739235145,-1.0900773862182722,-6.956545443151569,-4.31748811353631,-4.75932086581535,24.974358974358974,-5.3471075307174685,4.708520179372197,0.5,20.05056067952827,-Infinity,TRUE,-Infinity,-2.0292917579943643,1.118033988749895,-6.263398262591624,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,5,1.4,piranha
index4.js,-4.95758607300644,-1.033140547579737,-7.037027614686276,-4.397970285071017,-4.839803037350057,24.511627906976745,-5.427589702252176,4.360153256704981,0.375,19.461795721329416,-Infinity,TRUE,-Infinity,-1.9012291776360144,0.9921567416492215,-6.343880434126331,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,7,1.2857142857142858,piranha
index1.js,-4.95758607300644,-1.033140547579737,-7.037027614686276,-4.397970285071017,-4.839803037350057,24.511627906976745,-5.427589702252176,4.360153256704981,0.375,19.461795721329416,-Infinity,TRUE,-Infinity,-1.9012291776360144,0.9921567416492215,-6.343880434126331,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,7,1.2857142857142858,piranha
index.js,-5.266384319445027,-1.141556740497851,-7.212294468500341,-4.321922710604176,-5.015069891164122,24.58823529411765,-5.420534999272286,5.003690036900369,0.42857142857142855,19.12208093379887,-Infinity,TRUE,-Infinity,-2.1246981332679566,1.049781318335648,-6.113682179832232,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,6,1.5,piranha
index2.js,-5.113325581198203,-1.039561726676123,-6.617402977974478,-4.6024999574322125,-5.231108616854587,25.236363636363638,-5.36464000947911,4.479041916167665,0.3333333333333333,20.268169075818133,-Infinity,TRUE,-Infinity,-1.9352717508502575,0.9428090415820634,-6.617402977974478,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,7,1.4285714285714286,piranha
index3.js,-5.266384319445027,-1.141556740497851,-7.212294468500341,-4.321922710604176,-5.015069891164122,24.58823529411765,-5.420534999272286,5.003690036900369,0.42857142857142855,19.12208093379887,-Infinity,TRUE,-Infinity,-2.1246981332679566,1.049781318335648,-6.113682179832232,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,6,1.5,piranha
index9.js,-4.9459189793765646,-0.9662373254746036,-7.2485040723706105,-4.358132314474446,-5.05127949503439,24.074074074074073,-5.456744603142555,4.07536231884058,0.4,18.316003781202703,-Infinity,TRUE,-Infinity,-1.8060863618488168,0.916515138991168,-6.555356891810665,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,8,1.375,piranha
index6.js,-5.121409699598162,-1.051162688955122,-6.3741726680935304,-4.428262519038217,-4.98787830697364,24.11111111111111,-5.457881936219375,4.409774436090226,0.42857142857142855,19.095342331716186,-Infinity,TRUE,-Infinity,-1.937421133730402,1.049781318335648,-6.3741726680935304,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,6,1.3333333333333333,piranha
index7.js,-4.9459189793765646,-0.9662373254746036,-7.2485040723706105,-4.358132314474446,-5.05127949503439,24.074074074074073,-5.456744603142555,4.07536231884058,0.4,18.316003781202703,-Infinity,TRUE,-Infinity,-1.8060863618488168,0.916515138991168,-6.555356891810665,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,8,1.375,piranha
index10.js,-5.328758392049272,-0.9309478896741286,-5.934894195619588,-4.468557126826161,-5.328758392049272,25.023809523809526,-5.780743515792329,3.8703071672354947,0.2727272727272727,17.044742375007765,-Infinity,TRUE,-Infinity,-1.8131506592093727,0.8624393618641035,-5.328758392049272,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,14,1.2352941176470589,piranha
index8.js,-5.121409699598162,-1.051162688955122,-6.3741726680935304,-4.428262519038217,-4.98787830697364,24.11111111111111,-5.457881936219375,4.409774436090226,0.42857142857142855,19.095342331716186,-Infinity,TRUE,-Infinity,-1.937421133730402,1.049781318335648,-6.3741726680935304,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,6,1.3333333333333333,piranha
index5.js,-5.113325581198203,-1.039561726676123,-6.617402977974478,-4.6024999574322125,-5.231108616854587,25.236363636363638,-5.36464000947911,4.479041916167665,0.3333333333333333,20.268169075818133,-Infinity,TRUE,-Infinity,-1.9352717508502575,0.9428090415820634,-6.617402977974478,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,7,1.4285714285714286,piranha
B.js,-5.081404364984463,-1.152383783187746,-7.027314514039777,-6.334167333479831,-5.081404364984463,33.15151515151515,-5.417876601605676,4.7957446808510635,0.14285714285714285,27.8688717542679,-Infinity,FALSE,-Infinity,-1.7594563549764481,0.3499271061118826,-6.334167333479831,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,7,1.3333333333333333,pep
B-20131.js,-4.731173312191823,-0.7264409086594089,-Infinity,-4.731173312191823,-4.885323992019081,17.045454545454547,-4.885323992019081,4.315217391304348,0.0,14.527332460908024,-Infinity,FALSE,-Infinity,-1.7354410386378314,0.0,-6.677083461247136,-Infinity,-Infinity,-Infinity,-Infinity,-5.290789100127245,-Infinity,-Infinity,FALSE,4,1.5714285714285714,pep
D-2013.js,-4.964591355594849,-0.9504631272295493,-7.73718007783463,-5.945420608606575,-5.539955500498411,20.62264150943396,-5.098122748219372,4.332703213610586,0.0,14.790009906096344,-Infinity,FALSE,-Infinity,-1.6945472441522489,0.0,-6.638567789166521,-Infinity,-Infinity,-Infinity,-Infinity,-6.35088571671474,-Infinity,-Infinity,FALSE,7,2.0,pep
A1.js,-4.377851263263401,-1.0143942095840925,-6.57507584059962,-5.881928660039675,-4.783316371371566,22.129032258064516,-4.783316371371566,3.9613259668508287,0.2222222222222222,18.862391213451225,-Infinity,FALSE,-Infinity,-1.5846432538208841,0.41573970964154905,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,6,1.6,pep
C-2013.js,-4.727387818712341,-1.0435209064219486,-Infinity,-5.238213442478331,-4.257384189466605,20.73076923076923,-5.643678550586496,5.231481481481482,0.0,17.4456467841114,-Infinity,FALSE,-Infinity,-1.9301064838821878,0.0,-6.336825731146441,-Infinity,-Infinity,-Infinity,-Infinity,-6.336825731146441,-Infinity,-Infinity,FALSE,5,1.2,pep
A.js,-5.194806990178372,-1.3305746485865741,-Infinity,-5.194806990178372,-4.213977737166646,26.05,-5.194806990178372,6.518072289156627,0.0,21.57423231542666,-Infinity,FALSE,-Infinity,-2.150284552454949,0.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-6.293419278846481,-Infinity,FALSE,4,1.0,pep
A-2013.js,-4.943426544402806,-0.7184192836606603,-Infinity,-4.624972813284271,-4.624972813284271,17.39344262295082,-5.413430173648541,3.4523076923076923,0.375,14.187594082622509,-Infinity,FALSE,-Infinity,-1.450714053904877,0.9921567416492215,-5.924255797414532,-Infinity,-Infinity,-Infinity,-Infinity,-7.022868086082641,-Infinity,-Infinity,FALSE,6,1.5714285714285714,pep
C-20131.js,-4.894101477840304,-1.0142573707763933,-Infinity,-5.7695702151942045,-5.181783550292085,21.56338028169014,-4.981112854829934,4.52542372881356,0.0,18.246151355228893,-Infinity,FALSE,-Infinity,-1.733561229985067,0.0,-6.280395838960195,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.379008127628304,-Infinity,FALSE,8,1.5,pep
