@relation code_style

@attribute instanceID {program1.js,code2.js,program.js,problem_c.js,codejam.js,problemC.js,code.js,pancakes.js,proba.js,problemA.js,index.js,standing_ovation.js,dijkstra1.js,dijkstra.js,index2.js,probc1.js,so.js,code1.js,problem_b.js,code3.js,probb.js,standing_ovation1.js,problemB.js,so1.js,problemA1.js,index1.js,index3.js,pc3.js}
@attribute log(numFunctions/length) numeric
@attribute log(numTokens/length) numeric
@attribute log(numComments/length) numeric
@attribute log(numLiterals/length) numeric
@attribute log(numReservedWords/length) numeric
@attribute avgLineLength numeric
@attribute log(numEmptyLines/length) numeric
@attribute whiteSpaceRatio numeric
@attribute avgParams numeric
@attribute stdDevLineLength numeric
@attribute log(numMacros/length) numeric
@attribute tabsLeadLines {TRUE, FALSE}
@attribute log(numTabs/length) numeric
@attribute log(numSpaces/length) numeric
@attribute stdDevNumParams numeric
@attribute log(numIf/length) numeric
@attribute log(numElif/length) numeric
@attribute log(numElse/length) numeric
@attribute log(numSwitch/length) numeric
@attribute log(numTernary/length) numeric
@attribute log(numFor/length) numeric
@attribute log(numWhile/length) numeric
@attribute log(numDo/length) numeric
@attribute newLineBeforeOpeningBrace {TRUE, FALSE}
@attribute nestingDepth numeric
@attribute branchingFactor numeric
@attribute author {azenyem,mwsam,dobuki,dushanr,entertainyou,vskarine,jimbly}

@data
so1.js,-4.5512418439625355,-1.0816073007471518,-6.630683385642372,-4.232788112844001,-5.021245473208271,21.96969696969697,-5.021245473208271,4.566265060240964,0.375,19.330435804529117,-Infinity,FALSE,-4.433458808306153,-1.8348928400456306,0.4841229182759271,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,4,1.4,entertainyou
dijkstra.js,-4.797772052189602,-0.7839147408801882,-5.183434533001587,-4.797772052189602,-5.819423299721584,19.072847682119207,-4.838594046709858,2.7579617834394905,0.28,16.12989464200649,-Infinity,FALSE,-Infinity,-1.2504561623974528,0.530659966456864,-Infinity,-Infinity,-Infinity,-Infinity,-6.630353515937912,-Infinity,-Infinity,-Infinity,FALSE,5,2.4,entertainyou
so.js,-4.5512418439625355,-1.0816073007471518,-6.630683385642372,-4.232788112844001,-5.021245473208271,21.96969696969697,-5.021245473208271,4.566265060240964,0.375,19.330435804529117,-Infinity,FALSE,-4.433458808306153,-1.8348928400456306,0.4841229182759271,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,4,1.4,entertainyou
pc3.js,-4.792834587192542,-0.9719874624302653,-5.485981767752487,-4.436159643253809,-6.04559755568791,21.52,-5.03399664400943,3.8126410835214446,0.14285714285714285,18.751967007934574,-Infinity,FALSE,-4.487452937641359,-1.7083068148554195,0.3499271061118826,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,4,1.625,entertainyou
index1.js,-4.861748513388538,-1.1285531755000915,-6.024899323194219,-4.926287034526109,-5.688427086573006,18.14814814814815,-4.589814797904896,3.7944954128440367,0.25,17.2196135021445,-Infinity,FALSE,-Infinity,-1.7426930238025486,0.4330127018922193,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,4,2.5,mwsam
index.js,-4.861748513388538,-1.1285531755000915,-6.024899323194219,-4.926287034526109,-5.688427086573006,18.14814814814815,-4.589814797904896,3.7944954128440367,0.25,17.2196135021445,-Infinity,FALSE,-Infinity,-1.7426930238025486,0.4330127018922193,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,4,2.5,mwsam
index2.js,-5.164547850336247,-1.2968251038046816,-4.094106438634834,-5.634551479581983,-6.39669153162888,19.583333333333332,-4.975305850697719,2.944600280504909,0.16666666666666666,15.91114779590104,-Infinity,FALSE,-Infinity,-1.767525840084573,0.37267799624996495,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,7,2.090909090909091,mwsam
index3.js,-4.666686904696746,-0.9249205989960478,-6.2422232654551655,-4.989460296959797,-5.731397641689174,16.826589595375722,-4.568246831883494,3.305466237942122,0.6551724137931034,17.509831703594852,-Infinity,FALSE,-Infinity,-1.5118899365130678,1.122677282489635,-Infinity,-Infinity,-Infinity,-Infinity,-7.340835554123275,-Infinity,-Infinity,-Infinity,FALSE,6,2.5454545454545454,mwsam
codejam.js,-5.007928932498513,-1.1905136509519312,-4.857646729449175,-5.251551015156263,-6.133940195354737,26.678756476683937,-5.728475087246572,3.4230055658627085,0.1891891891891892,20.647558525526662,-Infinity,TRUE,-Infinity,-1.8287496096288327,0.5113753494168783,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,11,2.25,jimbly
proba.js,-4.298645025734831,-0.7432969642454169,-Infinity,-5.214935757608986,-4.298645025734831,18.444444444444443,-Infinity,2.944,0.2,12.028772091310545,-Infinity,TRUE,-Infinity,-1.4307461236907244,0.4,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,FALSE,4,1.3333333333333333,jimbly
